"long","lat","order","hole","piece","group","id"
-931211.8588,6977776.2099,228,FALSE,"1","Clare.1","Clare"
-929416.0673,6979424.4304,229,FALSE,"1","Clare.1","Clare"
-928379.747,6979947.8203,230,FALSE,"1","Clare.1","Clare"
-926279.0203,6975643.9094,231,FALSE,"1","Clare.1","Clare"
-928753.3794,6971251.9558,232,FALSE,"1","Clare.1","Clare"
-929137.0722,6970424.8346,233,FALSE,"1","Clare.1","Clare"
-929115.4933,6969196.6458,234,FALSE,"1","Clare.1","Clare"
-930272.2145,6970394.1934,235,FALSE,"1","Clare.1","Clare"
-932218.7909,6970652.1264,236,FALSE,"1","Clare.1","Clare"
-932982.7716,6969224.1881,237,FALSE,"1","Clare.1","Clare"
-934605.7941,6969653.4234,238,FALSE,"1","Clare.1","Clare"
-936092.2269,6968367.0295,239,FALSE,"1","Clare.1","Clare"
-936165.1419,6970494.0555,240,FALSE,"1","Clare.1","Clare"
-937082.0426,6969318.8952,241,FALSE,"1","Clare.1","Clare"
-939000.076,6970304.2718,242,FALSE,"1","Clare.1","Clare"
-939387.3307,6968858.3537,243,FALSE,"1","Clare.1","Clare"
-942763.8666,6967601.0976,244,FALSE,"1","Clare.1","Clare"
-946865.5523,6965830.4298,245,FALSE,"1","Clare.1","Clare"
-944683.6535,6963814.6444,246,FALSE,"1","Clare.1","Clare"
-937587.9823,6963861.6158,247,FALSE,"1","Clare.1","Clare"
-938771.4814,6960016.8191,248,FALSE,"1","Clare.1","Clare"
-938887.191,6959700.1931,249,FALSE,"1","Clare.1","Clare"
-938435.2214,6959329.0762,250,FALSE,"1","Clare.1","Clare"
-939754.8033,6958735.6682,251,FALSE,"1","Clare.1","Clare"
-940930.0413,6957387.5067,252,FALSE,"1","Clare.1","Clare"
-942331.4796,6956439.6798,253,FALSE,"1","Clare.1","Clare"
-943451.3739,6954570.7515,254,FALSE,"1","Clare.1","Clare"
-939259.5872,6947211.1663,255,FALSE,"1","Clare.1","Clare"
-939545.7577,6944620.9937,256,FALSE,"1","Clare.1","Clare"
-941698.9974,6942191.7721,257,FALSE,"1","Clare.1","Clare"
-942560.6071,6940819.9661,258,FALSE,"1","Clare.1","Clare"
-942888.4208,6940444.9395,259,FALSE,"1","Clare.1","Clare"
-943762.3414,6938497.0198,260,FALSE,"1","Clare.1","Clare"
-944806.5566,6938182.7199,261,FALSE,"1","Clare.1","Clare"
-947150.6171,6936675.2583,262,FALSE,"1","Clare.1","Clare"
-946947.4144,6930100.2916,263,FALSE,"1","Clare.1","Clare"
-950415.0104,6927985.7571,264,FALSE,"1","Clare.1","Clare"
-951923.5805,6923864.7784,265,FALSE,"1","Clare.1","Clare"
-955260.8837,6923734.5805,266,FALSE,"1","Clare.1","Clare"
-956513.3659,6922149.3232,267,FALSE,"1","Clare.1","Clare"
-956832.2825,6923100.5264,268,FALSE,"1","Clare.1","Clare"
-959076.1503,6926050.9133,269,FALSE,"1","Clare.1","Clare"
-959708.6142,6926175.573,270,FALSE,"1","Clare.1","Clare"
-960053.8807,6925972.5736,271,FALSE,"1","Clare.1","Clare"
