"","FID","LE_ID","ENGLISH","COUNTY","GUID","Pop2016","C19_P14_T","P14_100k","P14_100k_T","Ire_IncP14","EventDate"
"152",152,13240401,"KILMUCKRIDGE LEA-4","WEXFORD","2ae19629-3f3a-13a3-e055-000000000001",16725,"15",89.7,"89.7",88.2,"2020/09/28 00:00:00+00"
"153",153,1370400,"LISTOWEL LEA-6","KERRY","2ae19629-3f6b-13a3-e055-000000000001",28674,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
"154",154,1350406,"LIFFORD-STRANORLAR LEA-6","DONEGAL","2ae19629-3ef4-13a3-e055-075000000001",25889,"156",602.6,"602.6",88.2,"2020/09/28 00:00:00+00"
"155",155,1330404,"KILRUSH LEA-5","CLARE","2ae19629-3ef4-13a3-e055-000000044001",20994,"23",109.6,"109.6",88.2,"2020/09/28 00:00:00+00"
"156",156,1340412,"CORK CITY SOUTH EAST LEA-6","CORK","2ae19629-3ef4-13a3-e055-999990000001",42782,"34",79.5,"79.5",88.2,"2020/09/28 00:00:00+00"
"157",157,1340402,"MIDLETON LEA-7","CORK","2ae19629-3f65-13a3-e055-000000000001",45441,"27",59.4,"59.4",88.2,"2020/09/28 00:00:00+00"
"158",158,13120400,"NEWCASTLE WEST LEA-6","LIMERICK","2ae19629-3f07-13a3-e055-000000000001",27416,"24",87.5,"87.5",88.2,"2020/09/28 00:00:00+00"
"159",159,13260414,"FIRHOUSE-BOHERNABREENA LEA-5","DUBLIN","2ae19629-3f53-13a3-e055-000000000001",34202,"27",78.9,"78.9",88.2,"2020/09/28 00:00:00+00"
"160",160,1380402,"NAAS LEA-7","KILDARE","2ae19629-3f71-13a3-e055-000000000001",39126,"27",69,"69",88.2,"2020/09/28 00:00:00+00"
"161",161,1360400,"CONAMARA NORTH LEA-4","GALWAY","2ae19629-3f48-13a3-e055-000000000001",17191,"8",46.5,"46.5",88.2,"2020/09/28 00:00:00+00"
"162",162,13210403,"CLONMEL LEA-6","TIPPERARY","2ae19629-3f2f-13a3-e055-000000000001",24310,"6",24.7,"24.7",88.2,"2020/09/28 00:00:00+00"
"163",163,1320401,"BAILIEBOROUGH - COOTEHILL LEA-6","CAVAN","2ae19629-3f2a-13a3-e055-000000000001",24415,"22",90.1,"90.1",88.2,"2020/09/28 00:00:00+00"
"164",164,13260403,"CASTLEKNOCK LEA-6","DUBLIN","2ae19629-3efa-13a3-e055-000000000001",46126,"55",119.2,"119.2",88.2,"2020/09/28 00:00:00+00"
"165",165,13120401,"ADARE-RATHKEALE LEA-6","LIMERICK","2ae19629-3f08-13a3-e055-000000000001",27710,"13",46.9,"46.9",88.2,"2020/09/28 00:00:00+00"
"166",166,13240403,"ROSSLARE LEA-5","WEXFORD","2ae19629-3f3c-13a3-e055-000000000001",21540,"Less than 5 cases",0,"Less than 5 cases",88.2,"2020/09/28 00:00:00+00"
